Time,Azimuth,Zenith
0.00232,2.178590222,90.73086429
0.00233,2.062920756,90.69472985
0.00234,1.947251105,90.65829558
0.00235,1.8315866,90.6215634
0.00236,1.715932574,90.58453527
0.00237,1.600294357,90.54721315
0.00238,1.48467728,90.50959901
0.00239,1.36908667,90.47169485
0.0024,1.253527857,90.43350265
0.00241,1.138006164,90.39502442
0.00242,1.022526916,90.35626218
0.00243,0.907095434,90.31721797
0.00244,0.791717036,90.2778938
0.00245,0.67639704,90.23829174
0.00246,0.561140756,90.19841384
0.00247,0.445953496,90.15826216
0.00248,0.330840563,90.11783878
0.00249,0.215807259,90.07714578
0.0025,0.100858883,90.03618526
0.00251,-0.013999274,89.99495932
0.00252,-0.128761925,89.95347005
0.00253,-0.243423785,89.91171959
0.00254,-0.357979579,89.86971005
0.00255,-0.472424034,89.82744357
0.00256,-0.586751887,89.78492227
0.00257,-0.700957877,89.74214832
0.00258,-0.815036752,89.69912386
0.00259,-0.928983267,89.65585105
0.0026,-1.042792183,89.61233206
0.00261,-1.15645827,89.56856906
0.00262,-1.269976305,89.52456423
0.00263,-1.383341073,89.48031976
0.00264,-1.496547367,89.43583782
0.00265,-1.60958999,89.39112063
0.00266,-1.722463753,89.34617039
0.00267,-1.835163476,89.30098929
0.00268,-1.947683989,89.25557957
0.00269,-2.060020132,89.20994342
0.0027,-2.172166755,89.16408308
0.00271,-2.284118718,89.11800078
0.00272,-2.395870893,89.07169875
0.00273,-2.507418162,89.02517923
0.00274,-2.618755417,88.97844446
0.00275,-2.729877565,88.93149669
0.00276,-2.840779523,88.88433818
0.00277,-2.951456219,88.83697118
0.00278,-3.061902596,88.78939795
0.00279,-3.172113608,88.74162076
0.0028,-3.282084223,88.69364189
0.00281,-3.391809422,88.6454636
0.00282,-3.5012842,88.59708817
0.00283,-3.610503566,88.54851789
0.00284,-3.719462543,88.49975505
0.00285,-3.828156169,88.45080194
0.00286,-3.936579496,88.40166085
0.00287,-4.044727592,88.35233408
0.00288,-4.152595541,88.30282394
0.00289,-4.260178441,88.25313274
0.0029,-4.367471408,88.20326278
0.00291,-4.474469572,88.1532164
